AUC,Accuracy,Business Score
0.6342637362637362,0.7267202194357367,224.2
0.6726530612244899,0.9074510188087774,252.8
0.677535321821036,0.9118260188087774,253.2
0.6936713762428048,0.9155760188087774,253.8
0.6830643642072214,0.9080760188087774,254.4
0.6994767137624281,0.9168240595611286,253.4
0.7039194139194139,0.9180779780564263,249.4
0.6931637885923599,0.9112010188087775,251.6
0.696450026164312,0.9111971003134796,253.4
0.701629513343799,0.9174529780564263,251.4
0.6558608058608059,0.8049059561128526,235.2
0.6432464678178965,0.7254663009404388,224.6
0.6277336473050759,0.7336108934169279,243.6
0.6353710099424386,0.7892770376175549,242.0
0.6561297749869179,0.9124510188087773,256.6
0.6374474097331241,0.676067789968652,222.4
0.6604552590266877,0.8530583855799373,237.8
0.6469832548403976,0.7736363636363637,238.0
0.6727598116169544,0.8999490595611286,251.6
0.6351773940345369,0.9143240595611285,257.8
0.6401339612768184,0.8074118338557993,247.0
0.6398639455782313,0.6879486677115987,225.8
0.6525620094191522,0.8105387931034482,237.0
0.6474133961276819,0.8468025078369905,236.2
0.6776190476190476,0.8961892633228841,247.4
0.6513050758765044,0.8424275078369906,237.6
0.6356682365253794,0.8099079153605014,246.2
0.6359649398220826,0.9043240595611286,253.8
0.6571648351648351,0.8818201410658307,244.8
0.6413186813186813,0.6910775862068965,221.2
